ticket_id,customer_id,created_at,closed_at,category,priority,status,channel,subject,details,resolution_summary,satisfaction_score
5016,1031,2025-01-10 23:11:18,2025-01-13 20:56:18,Refund,Low,Closed,Phone,Chargeback question,Customer reports the refund ETA has passed and wants an update. (Subject: Chargeback question),Explained refund policy and initiated refund after verification.,5
5017,1011,2024-10-26 23:27:51,,Billing,Medium,Open,Web,Subscription renewal issue,Customer asks for a breakdown of taxes/fees on the invoice. (Subject: Subscription renewal issue),,0
5018,1107,2024-09-12 16:47:39,,Returns,Low,Pending,Web,Wrong item received,Customer received the wrong item and requests an exchange/return. (Subject: Wrong item received),,0
5019,1093,2025-03-04 11:44:52,2025-03-06 16:17:52,Refund,Low,Closed,Phone,Refund not received,Customer says they returned an item and is waiting for the refund confirmation. (Subject: Refund not received),Explained refund policy and initiated refund after verification.,4
5020,1044,2025-10-13 15:11:26,2025-10-15 12:33:26,Refund,High,Closed,Chat,Refund not received,Customer reports the refund ETA has passed and wants an update. (Subject: Refund not received),Verified refund status and shared transaction reference; confirmed processing timeline.,3
5021,1051,2026-01-18 15:34:25,2026-01-21 08:03:25,Returns,High,Closed,Web,Return window question,Customer received the wrong item and requests an exchange/return. (Subject: Return window question),Processed exchange request and issued updated shipping label.,5
5022,1083,2024-12-22 18:02:59,2024-12-25 07:30:59,Shipping,Medium,Closed,Phone,Missing delivery,Customer reports a missing delivery and requests next steps. (Subject: Missing delivery),Contacted carrier and shared updated tracking; offered compensation where applicable.,4
5023,1019,2024-09-25 17:02:59,2024-09-27 06:06:59,Returns,Medium,Closed,Email,Wrong item received,Customer received the wrong item and requests an exchange/return. (Subject: Wrong item received),Processed exchange request and issued updated shipping label.,4
5024,1119,2025-08-11 19:38:37,,Technical,Medium,Pending,Chat,Login issue,Customer reports the app crashes on a specific screen and needs a workaround. (Subject: Login issue),,0
5025,1122,2025-08-12 10:21:34,2025-08-14 07:06:34,Technical,Low,Closed,Chat,Login issue,Customer encounters an error after login and requests troubleshooting steps. (Subject: Login issue),Provided troubleshooting steps; issue resolved after cache reset/update.,5
5026,1113,2024-12-28 19:14:37,2024-12-30 08:38:37,Technical,Medium,Closed,Phone,2FA problem,Customer cannot reset password and receives repeated error messages. (Subject: 2FA problem),Reset credentials and verified successful login.,2
5027,1086,2025-11-03 21:11:17,2025-11-05 10:27:17,Refund,High,Closed,Chat,Refund not received,Customer asks whether their order qualifies for a refund and what the timeline is. (Subject: Refund not received),Verified refund status and shared transaction reference; confirmed processing timeline.,5
5028,1037,2026-01-19 01:44:46,2026-01-21 04:52:46,Support,Medium,Closed,Email,Warranty info,Customer reports promo code not applying and requests assistance. (Subject: Warranty info),Answered inquiry and shared relevant help article summary.,4
5029,1085,2024-11-08 02:05:22,2024-11-10 09:37:22,Shipping,Medium,Closed,Phone,International shipping question,Customer says tracking has not updated for multiple days and asks for escalation. (Subject: International shipping question),Contacted carrier and shared updated tracking; offered compensation where applicable.,5
5030,1088,2025-01-23 15:14:13,2025-01-24 09:23:13,Support,Low,Closed,Email,Promo code not working,Customer has a general question and requests quick guidance. (Subject: Promo code not working),Answered inquiry and shared relevant help article summary.,5
5031,1135,2025-12-20 12:56:29,2025-12-22 14:05:29,Refund,Low,Closed,Chat,Refund timeline,Customer says they returned an item and is waiting for the refund confirmation. (Subject: Refund timeline),Explained refund policy and initiated refund after verification.,2
5032,1094,2025-08-07 12:27:50,2025-08-09 22:41:50,Account,Medium,Closed,Phone,Update email request,Customer wants to change account details and requests verification steps. (Subject: Update email request),Canceled subscription and sent confirmation.,4
5033,1147,2025-04-03 08:36:20,,Support,Medium,Open,Web,Promo code not working,Customer asks for steps to complete a common action inside the product. (Subject: Promo code not working),,0
5034,1052,2025-03-09 16:23:51,2025-03-12 07:18:51,Shipping,Medium,Closed,Email,Tracking not updating,Customer reports a missing delivery and requests next steps. (Subject: Tracking not updating),Corrected address and re-routed shipment; confirmation sent.,5
5035,1073,2025-03-27 09:11:54,2025-03-30 03:20:54,Refund,High,Closed,Email,Refund eligibility,Customer reports the refund ETA has passed and wants an update. (Subject: Refund eligibility),Explained refund policy and initiated refund after verification.,5
5036,1007,2025-09-21 10:05:27,2025-09-23 12:10:27,Billing,Medium,Closed,Email,Subscription renewal issue,Customer reports a payment failure and needs urgent help to renew. (Subject: Subscription renewal issue),Removed duplicate charge and sent corrected invoice.,5
5037,1086,2024-09-26 06:01:23,2024-09-28 19:45:23,Account,High,Closed,Web,Update email request,Customer wants to change account details and requests verification steps. (Subject: Update email request),Unlocked account after verification and advised on prevention steps.,1
5038,1021,2024-12-21 15:14:51,2024-12-24 11:41:51,Refund,Low,Closed,Phone,Refund eligibility,Customer reports the refund ETA has passed and wants an update. (Subject: Refund eligibility),Explained refund policy and initiated refund after verification.,3
5039,1062,2025-08-17 13:12:55,2025-08-20 05:50:55,Billing,Medium,Closed,Chat,Tax/fee clarification,Customer asks for a breakdown of taxes/fees on the invoice. (Subject: Tax/fee clarification),Removed duplicate charge and sent corrected invoice.,4
5040,1001,2025-11-13 17:56:33,2025-11-14 05:29:33,Technical,Urgent,Closed,Email,App crash,Customer cannot reset password and receives repeated error messages. (Subject: App crash),Reset credentials and verified successful login.,4
5041,1130,2025-08-27 15:57:11,2025-08-29 18:20:11,Technical,Medium,Closed,Email,Error on checkout,Customer reports the app crashes on a specific screen and needs a workaround. (Subject: Error on checkout),Provided troubleshooting steps; issue resolved after cache reset/update.,4
5042,1027,2024-12-09 02:56:06,2024-12-12 01:17:06,Account,High,Closed,Chat,Account locked,Customer says account is locked and needs reactivation. (Subject: Account locked),Verified identity and updated account details.,5
5043,1123,2024-10-15 12:16:45,2024-10-17 23:18:45,Technical,Medium,Closed,Email,App crash,Customer encounters an error after login and requests troubleshooting steps. (Subject: App crash),Provided troubleshooting steps; issue resolved after cache reset/update.,4
5044,1080,2025-08-30 04:48:40,2025-08-31 06:06:40,Technical,Medium,Closed,Email,2FA problem,Customer cannot reset password and receives repeated error messages. (Subject: 2FA problem),"Collected logs, filed bug, and provided workaround; customer confirmed working.",4
5045,1095,2025-08-04 01:17:05,,Billing,Medium,Pending,Chat,Subscription renewal issue,Customer reports a payment failure and needs urgent help to renew. (Subject: Subscription renewal issue),,0
5046,1128,2025-03-22 16:02:02,,Billing,High,Open,Email,Tax/fee clarification,Customer reports a payment failure and needs urgent help to renew. (Subject: Tax/fee clarification),,0
5047,1047,2024-11-15 04:33:49,2024-11-16 18:52:49,Technical,Medium,Closed,Web,Password reset not working,Customer encounters an error after login and requests troubleshooting steps. (Subject: Password reset not working),Reset credentials and verified successful login.,4
5048,1115,2025-12-18 01:39:44,,Refund,Medium,Pending,Email,Refund timeline,Customer reports the refund ETA has passed and wants an update. (Subject: Refund timeline),,0
5049,1104,2024-09-20 16:30:11,2024-09-23 01:32:11,Billing,Low,Closed,Chat,Invoice mismatch,Customer asks for a breakdown of taxes/fees on the invoice. (Subject: Invoice mismatch),Resolved payment issue and confirmed successful renewal.,4
5050,1146,2026-02-05 22:38:03,2026-02-07 23:01:03,Refund,Medium,Closed,Email,Refund eligibility,Customer says they returned an item and is waiting for the refund confirmation. (Subject: Refund eligibility),Verified refund status and shared transaction reference; confirmed processing timeline.,4
5051,1102,2025-03-09 09:05:54,,Returns,Low,Pending,Chat,Exchange request,Customer asks about return window and whether an exception is possible. (Subject: Exchange request),,0
5052,1133,2024-11-26 23:13:26,2024-11-28 09:58:26,Billing,Medium,Closed,Phone,Tax/fee clarification,Customer asks for a breakdown of taxes/fees on the invoice. (Subject: Tax/fee clarification),Resolved payment issue and confirmed successful renewal.,4
5053,1035,2025-01-08 14:32:52,,Shipping,Medium,Pending,Email,Address correction,Customer reports a missing delivery and requests next steps. (Subject: Address correction),,0
5054,1082,2025-10-28 16:41:23,2025-10-30 08:35:23,Account,Low,Closed,Chat,Cancel subscription,Customer wants to change account details and requests verification steps. (Subject: Cancel subscription),Unlocked account after verification and advised on prevention steps.,4
5055,1052,2025-09-15 05:14:11,2025-09-18 04:50:11,Shipping,Medium,Closed,Chat,Tracking not updating,Customer reports a missing delivery and requests next steps. (Subject: Tracking not updating),Contacted carrier and shared updated tracking; offered compensation where applicable.,3
5056,1102,2025-10-09 19:40:38,2025-10-12 01:32:38,Support,Medium,Closed,Chat,Promo code not working,Customer reports promo code not applying and requests assistance. (Subject: Promo code not working),Answered inquiry and shared relevant help article summary.,3
5057,1120,2024-12-05 04:19:49,,Account,High,Pending,Chat,Account locked,Customer requests cancellation and confirmation of subscription status. (Subject: Account locked),,0
5058,1111,2024-12-01 22:31:51,2024-12-03 13:41:51,Technical,Low,Closed,Chat,Login issue,Customer reports the app crashes on a specific screen and needs a workaround. (Subject: Login issue),Reset credentials and verified successful login.,5
5059,1021,2025-03-28 16:08:17,2025-03-30 07:47:17,Returns,Medium,Closed,Chat,Return pickup scheduling,Customer received the wrong item and requests an exchange/return. (Subject: Return pickup scheduling),Processed exchange request and issued updated shipping label.,3
5060,1087,2024-09-28 11:55:02,,Shipping,Low,Open,Email,International shipping question,Customer reports a missing delivery and requests next steps. (Subject: International shipping question),,0
5061,1148,2025-11-14 21:24:37,2025-11-15 01:55:37,Returns,High,Closed,Phone,Return window question,Customer received the wrong item and requests an exchange/return. (Subject: Return window question),Approved return exception and scheduled pickup; confirmation sent.,4
5062,1104,2026-02-13 08:41:14,2026-02-15 18:07:14,Returns,Medium,Closed,Chat,Return label request,Customer asks about return window and whether an exception is possible. (Subject: Return label request),Processed exchange request and issued updated shipping label.,3
5063,1082,2025-07-03 04:36:58,2025-07-05 05:08:58,Account,Medium,Closed,Phone,Account locked,Customer requests cancellation and confirmation of subscription status. (Subject: Account locked),Verified identity and updated account details.,3
5064,1116,2024-10-05 19:21:03,2024-10-07 22:16:03,Returns,Medium,Closed,Chat,Return label request,Customer needs a return label and instructions for packaging. (Subject: Return label request),Approved return exception and scheduled pickup; confirmation sent.,5
5065,1081,2025-09-18 12:20:34,,Returns,Medium,Pending,Phone,Return window question,Customer asks about return window and whether an exception is possible. (Subject: Return window question),,0
5066,1006,2025-09-24 02:10:03,2025-09-25 09:23:03,Refund,Medium,Closed,Email,Chargeback question,Customer reports the refund ETA has passed and wants an update. (Subject: Chargeback question),Explained refund policy and initiated refund after verification.,4
5067,1121,2024-11-18 23:53:27,2024-11-20 10:39:27,Returns,Medium,Closed,Web,Return label request,Customer asks about return window and whether an exception is possible. (Subject: Return label request),Generated return label and explained return steps and timelines.,4
5068,1146,2025-10-31 04:49:22,2025-11-02 07:21:22,Technical,Medium,Closed,Phone,Password reset not working,Customer cannot reset password and receives repeated error messages. (Subject: Password reset not working),Reset credentials and verified successful login.,5
5069,1033,2025-06-13 08:55:16,,Support,Medium,Open,Phone,Promo code not working,Customer asks for steps to complete a common action inside the product. (Subject: Promo code not working),,0
5070,1051,2025-09-19 22:07:40,2025-09-20 03:15:40,Technical,High,Closed,Web,Error on checkout,Customer cannot reset password and receives repeated error messages. (Subject: Error on checkout),"Collected logs, filed bug, and provided workaround; customer confirmed working.",3
5071,1132,2025-05-01 21:49:48,2025-05-03 13:26:48,Refund,Medium,Closed,Web,Refund for damaged item,Customer says they returned an item and is waiting for the refund confirmation. (Subject: Refund for damaged item),Provided ETA and confirmation email once refund was approved.,4
5072,1005,2025-07-17 00:52:24,2025-07-17 05:30:24,Billing,Medium,Closed,Chat,Charged twice,Customer asks for a breakdown of taxes/fees on the invoice. (Subject: Charged twice),Removed duplicate charge and sent corrected invoice.,5
5073,1044,2025-06-18 19:15:41,2025-06-20 03:17:41,Technical,Medium,Closed,Email,2FA problem,Customer encounters an error after login and requests troubleshooting steps. (Subject: 2FA problem),Provided troubleshooting steps; issue resolved after cache reset/update.,4
5074,1108,2025-07-12 05:59:21,2025-07-14 19:54:21,Refund,High,Closed,Email,Refund eligibility,Customer says they returned an item and is waiting for the refund confirmation. (Subject: Refund eligibility),Verified refund status and shared transaction reference; confirmed processing timeline.,4
5075,1144,2025-10-09 15:36:14,2025-10-10 15:05:14,Returns,High,Closed,Phone,Wrong item received,Customer received the wrong item and requests an exchange/return. (Subject: Wrong item received),Approved return exception and scheduled pickup; confirmation sent.,5
5076,1068,2025-03-06 23:26:59,2025-03-08 14:40:59,Technical,Urgent,Closed,Phone,App crash,Customer reports the app crashes on a specific screen and needs a workaround. (Subject: App crash),Reset credentials and verified successful login.,4
5077,1126,2025-11-05 20:14:45,,Returns,High,Pending,Phone,Exchange request,Customer asks about return window and whether an exception is possible. (Subject: Exchange request),,0
5078,1032,2025-06-18 10:00:45,,Technical,Medium,Pending,Phone,2FA problem,Customer encounters an error after login and requests troubleshooting steps. (Subject: 2FA problem),,0
5079,1075,2025-05-23 12:41:01,,Refund,Medium,Pending,Web,Refund not received,Customer reports the refund ETA has passed and wants an update. (Subject: Refund not received),,0
5080,1052,2025-11-07 00:46:30,2025-11-07 18:52:30,Shipping,Medium,Closed,Chat,Missing delivery,Customer reports delivery delay beyond estimate and requests tracking update. (Subject: Missing delivery),Contacted carrier and shared updated tracking; offered compensation where applicable.,5
5081,1136,2024-10-07 06:30:18,2024-10-09 02:15:18,Returns,Medium,Closed,Chat,Return window question,Customer needs a return label and instructions for packaging. (Subject: Return window question),Processed exchange request and issued updated shipping label.,5
5082,1041,2025-09-02 08:17:07,2025-09-03 21:37:07,Billing,Medium,Closed,Email,Subscription renewal issue,Customer sees a duplicate charge for the same invoice/order and requests correction. (Subject: Subscription renewal issue),Explained fees and provided invoice breakdown.,5
5083,1137,2025-01-10 11:26:38,2025-01-11 11:25:38,Account,Urgent,Closed,Web,Cancel subscription,Customer wants to change account details and requests verification steps. (Subject: Cancel subscription),Canceled subscription and sent confirmation.,5
5084,1075,2025-04-16 06:26:02,2025-04-16 21:25:02,Shipping,Urgent,Closed,Phone,Package delayed,Customer says tracking has not updated for multiple days and asks for escalation. (Subject: Package delayed),Corrected address and re-routed shipment; confirmation sent.,4
5085,1127,2025-09-23 03:12:19,2025-09-24 05:03:19,Shipping,Low,Closed,Chat,Tracking not updating,Customer reports a missing delivery and requests next steps. (Subject: Tracking not updating),Initiated investigation for missing delivery and arranged replacement.,5
5086,1048,2025-04-13 15:39:02,2025-04-14 16:50:02,Refund,Medium,Closed,Web,Refund timeline,Customer asks whether their order qualifies for a refund and what the timeline is. (Subject: Refund timeline),Provided ETA and confirmation email once refund was approved.,4
5087,1103,2024-12-14 17:11:43,2024-12-16 01:11:43,Account,Medium,Closed,Chat,Update email request,Customer wants to change account details and requests verification steps. (Subject: Update email request),Verified identity and updated account details.,5
5088,1078,2024-09-05 09:10:39,2024-09-07 08:54:39,Technical,Low,Closed,Email,2FA problem,Customer reports the app crashes on a specific screen and needs a workaround. (Subject: 2FA problem),"Collected logs, filed bug, and provided workaround; customer confirmed working.",3
5089,1129,2026-02-14 15:56:43,2026-02-16 06:19:43,Support,Medium,Closed,Chat,Warranty info,Customer asks for steps to complete a common action inside the product. (Subject: Warranty info),Applied promo code manually and explained eligibility.,3
5090,1096,2025-08-28 04:52:17,2025-08-29 09:40:17,Billing,Low,Closed,Email,Tax/fee clarification,Customer asks for a breakdown of taxes/fees on the invoice. (Subject: Tax/fee clarification),Resolved payment issue and confirmed successful renewal.,4
5091,1093,2024-11-22 15:43:24,2024-11-25 15:40:24,Refund,Medium,Closed,Chat,Refund for damaged item,Customer reports the refund ETA has passed and wants an update. (Subject: Refund for damaged item),Explained refund policy and initiated refund after verification.,5
5092,1114,2025-11-23 10:39:38,2025-11-26 05:07:38,Refund,High,Closed,Web,Refund eligibility,Customer reports the refund ETA has passed and wants an update. (Subject: Refund eligibility),Provided ETA and confirmation email once refund was approved.,4
5093,1145,2026-02-01 01:17:56,,Refund,High,Open,Web,Chargeback question,Customer asks whether their order qualifies for a refund and what the timeline is. (Subject: Chargeback question),,0
5094,1001,2024-10-23 05:22:08,2024-10-25 03:06:08,Account,Low,Closed,Email,Delete account request,Customer requests cancellation and confirmation of subscription status. (Subject: Delete account request),Verified identity and updated account details.,2
5095,1105,2026-01-07 18:53:33,,Returns,Medium,Pending,Web,Return window question,Customer asks about return window and whether an exception is possible. (Subject: Return window question),,0
5096,1098,2025-06-15 06:32:25,2025-06-18 04:40:25,Billing,Medium,Closed,Phone,Subscription renewal issue,Customer sees a duplicate charge for the same invoice/order and requests correction. (Subject: Subscription renewal issue),Removed duplicate charge and sent corrected invoice.,5
5097,1101,2024-08-30 04:44:48,2024-08-31 20:13:48,Technical,High,Closed,Web,App crash,Customer cannot reset password and receives repeated error messages. (Subject: App crash),"Collected logs, filed bug, and provided workaround; customer confirmed working.",5
5098,1064,2025-03-29 14:29:00,2025-03-30 05:31:00,Billing,High,Closed,Web,Invoice mismatch,Customer asks for a breakdown of taxes/fees on the invoice. (Subject: Invoice mismatch),Removed duplicate charge and sent corrected invoice.,4
5099,1018,2025-08-09 06:15:52,2025-08-09 13:30:52,Refund,High,Closed,Web,Refund not received,Customer asks whether their order qualifies for a refund and what the timeline is. (Subject: Refund not received),Verified refund status and shared transaction reference; confirmed processing timeline.,4
5100,1015,2025-02-25 09:05:13,,Refund,High,Open,Phone,Refund timeline,Customer says they returned an item and is waiting for the refund confirmation. (Subject: Refund timeline),,0
5101,1083,2026-01-22 07:15:05,2026-01-24 12:34:05,Returns,Medium,Closed,Chat,Return window question,Customer received the wrong item and requests an exchange/return. (Subject: Return window question),Processed exchange request and issued updated shipping label.,4
5102,1127,2026-01-09 04:16:50,2026-01-12 00:36:50,Refund,High,Closed,Web,Refund timeline,Customer reports the refund ETA has passed and wants an update. (Subject: Refund timeline),Explained refund policy and initiated refund after verification.,4
5103,1138,2025-04-18 02:07:59,,Billing,Low,Open,Web,Invoice mismatch,Customer sees a duplicate charge for the same invoice/order and requests correction. (Subject: Invoice mismatch),,0
5104,1144,2025-11-03 08:34:41,2025-11-05 10:49:41,Billing,Medium,Closed,Phone,Subscription renewal issue,Customer asks for a breakdown of taxes/fees on the invoice. (Subject: Subscription renewal issue),Removed duplicate charge and sent corrected invoice.,5
5105,1095,2024-10-06 12:42:44,2024-10-06 19:37:44,Refund,Low,Closed,Chat,Refund eligibility,Customer asks whether their order qualifies for a refund and what the timeline is. (Subject: Refund eligibility),Verified refund status and shared transaction reference; confirmed processing timeline.,5
5106,1086,2025-02-08 00:22:58,,Returns,Urgent,Pending,Email,Return label request,Customer received the wrong item and requests an exchange/return. (Subject: Return label request),,0
5107,1123,2025-02-02 08:24:04,2025-02-03 15:59:04,Shipping,Medium,Closed,Phone,International shipping question,Customer says tracking has not updated for multiple days and asks for escalation. (Subject: International shipping question),Initiated investigation for missing delivery and arranged replacement.,4
5108,1092,2025-09-29 19:35:35,,Returns,Medium,Pending,Web,Exchange request,Customer asks about return window and whether an exception is possible. (Subject: Exchange request),,0
5109,1053,2024-10-02 00:11:51,2024-10-03 05:58:51,Billing,Low,Closed,Phone,Subscription renewal issue,Customer asks for a breakdown of taxes/fees on the invoice. (Subject: Subscription renewal issue),Explained fees and provided invoice breakdown.,5
5110,1107,2025-05-10 17:08:04,2025-05-12 01:39:04,Returns,Medium,Closed,Phone,Return window question,Customer asks about return window and whether an exception is possible. (Subject: Return window question),Approved return exception and scheduled pickup; confirmation sent.,5
5111,1126,2025-01-05 23:20:29,2025-01-08 21:51:29,Billing,Low,Closed,Email,Payment failed,Customer asks for a breakdown of taxes/fees on the invoice. (Subject: Payment failed),Removed duplicate charge and sent corrected invoice.,5
5112,1020,2024-09-01 11:00:11,2024-09-02 17:04:11,Support,High,Closed,Email,How to change address,Customer asks for steps to complete a common action inside the product. (Subject: How to change address),Answered inquiry and shared relevant help article summary.,4
5113,1016,2025-09-06 19:34:41,2025-09-06 22:34:41,Technical,Medium,Closed,Web,2FA problem,Customer encounters an error after login and requests troubleshooting steps. (Subject: 2FA problem),Provided troubleshooting steps; issue resolved after cache reset/update.,4
5114,1071,2024-09-09 19:33:40,2024-09-12 04:24:40,Technical,Urgent,Closed,Chat,Password reset not working,Customer encounters an error after login and requests troubleshooting steps. (Subject: Password reset not working),Provided troubleshooting steps; issue resolved after cache reset/update.,4
5115,1062,2025-03-11 13:24:58,,Returns,Medium,Open,Web,Return pickup scheduling,Customer needs a return label and instructions for packaging. (Subject: Return pickup scheduling),,0
5116,1096,2025-11-09 08:24:14,2025-11-10 13:43:14,Support,High,Closed,Email,Promo code not working,Customer has a general question and requests quick guidance. (Subject: Promo code not working),Answered inquiry and shared relevant help article summary.,5
5117,1024,2025-10-30 19:06:05,2025-10-30 21:50:05,Billing,Low,Closed,Web,Subscription renewal issue,Customer reports a payment failure and needs urgent help to renew. (Subject: Subscription renewal issue),Explained fees and provided invoice breakdown.,5
5118,1145,2025-10-11 17:36:02,,Support,Low,Pending,Web,How to change address,Customer reports promo code not applying and requests assistance. (Subject: How to change address),,0
5119,1012,2025-10-23 06:49:33,2025-10-23 12:00:33,Support,Urgent,Closed,Phone,Warranty info,Customer asks for steps to complete a common action inside the product. (Subject: Warranty info),Guided customer through steps and confirmed success.,5
5120,1102,2024-12-31 16:17:31,2025-01-02 19:00:31,Support,High,Closed,Phone,Warranty info,Customer reports promo code not applying and requests assistance. (Subject: Warranty info),Answered inquiry and shared relevant help article summary.,3
5121,1021,2024-10-08 04:58:26,2024-10-09 11:51:26,Technical,Low,Closed,Web,Password reset not working,Customer reports the app crashes on a specific screen and needs a workaround. (Subject: Password reset not working),Provided troubleshooting steps; issue resolved after cache reset/update.,5
5122,1116,2025-10-31 01:22:13,,Billing,Medium,Pending,Web,Payment failed,Customer sees a duplicate charge for the same invoice/order and requests correction. (Subject: Payment failed),,0
5123,1076,2024-10-30 05:17:57,2024-11-01 07:02:57,Shipping,High,Closed,Chat,Package delayed,Customer reports a missing delivery and requests next steps. (Subject: Package delayed),Initiated investigation for missing delivery and arranged replacement.,4
5124,1028,2025-08-07 22:28:38,2025-08-09 09:34:38,Refund,Low,Closed,Chat,Refund timeline,Customer asks whether their order qualifies for a refund and what the timeline is. (Subject: Refund timeline),Explained refund policy and initiated refund after verification.,4
5125,1132,2024-11-05 02:36:58,2024-11-05 15:14:58,Billing,Medium,Closed,Phone,Charged twice,Customer reports a payment failure and needs urgent help to renew. (Subject: Charged twice),Removed duplicate charge and sent corrected invoice.,4
5126,1100,2025-03-04 01:02:54,2025-03-04 23:45:54,Account,Medium,Closed,Chat,Delete account request,Customer wants to change account details and requests verification steps. (Subject: Delete account request),Verified identity and updated account details.,4
5127,1038,2025-03-29 20:18:07,2025-04-01 11:08:07,Refund,Low,Closed,Phone,Chargeback question,Customer reports the refund ETA has passed and wants an update. (Subject: Chargeback question),Provided ETA and confirmation email once refund was approved.,5
5128,1051,2025-04-21 03:14:12,2025-04-23 06:35:12,Billing,High,Closed,Web,Invoice mismatch,Customer reports a payment failure and needs urgent help to renew. (Subject: Invoice mismatch),Resolved payment issue and confirmed successful renewal.,4
5129,1035,2025-01-30 12:08:35,2025-01-31 11:33:35,Returns,Urgent,Closed,Phone,Return pickup scheduling,Customer received the wrong item and requests an exchange/return. (Subject: Return pickup scheduling),Processed exchange request and issued updated shipping label.,5
5130,1148,2025-06-15 14:10:44,2025-06-17 17:33:44,Account,Low,Closed,Chat,Account locked,Customer says account is locked and needs reactivation. (Subject: Account locked),Unlocked account after verification and advised on prevention steps.,3
5131,1141,2025-02-06 08:07:45,2025-02-07 23:00:45,Refund,High,Closed,Web,Chargeback question,Customer says they returned an item and is waiting for the refund confirmation. (Subject: Chargeback question),Explained refund policy and initiated refund after verification.,3
5132,1078,2025-07-22 03:40:36,,Returns,Low,Open,Web,Return window question,Customer received the wrong item and requests an exchange/return. (Subject: Return window question),,0
5133,1103,2025-10-23 18:16:52,2025-10-25 18:00:52,Technical,High,Closed,Email,Error on checkout,Customer encounters an error after login and requests troubleshooting steps. (Subject: Error on checkout),Provided troubleshooting steps; issue resolved after cache reset/update.,5
5134,1091,2024-09-30 21:45:00,2024-10-03 02:33:00,Refund,Medium,Closed,Web,Refund for damaged item,Customer reports the refund ETA has passed and wants an update. (Subject: Refund for damaged item),Verified refund status and shared transaction reference; confirmed processing timeline.,3
5135,1057,2025-11-03 21:45:04,2025-11-05 03:13:04,Technical,Medium,Closed,Web,2FA problem,Customer cannot reset password and receives repeated error messages. (Subject: 2FA problem),Reset credentials and verified successful login.,5
